image,method,intensity_bhattacharyya,intensity_wasserstein,gradient_similarity,edge_preservation,local_contrast_ratio,mask_contrast,artifact_penalty,composite_score
Aufnahme-02_2Mio_nach_24h.jpg,opening,0.05103017224473857,2.4551688398059923,0.9106969340786948,0.12274787864698361,1.6487785564060857,,0.40775245147429023,0.5848946736811578
Aufnahme-02_2Mio_nach_24h.jpg,rolling_ball,0.0255749307201459,2.664430149598047,0.97406101962936,0.12628086988573534,1.4557195258384992,,0.10713647270678198,0.6241549246030691
Aufnahme-02_2Mio_nach_24h.jpg,poly2,0.30667857961177664,3.257005754567217,0.918658347578489,0.09975485574203281,1.8964677378742336,,0.32795566514453495,0.5213807302034364
Aufnahme-02_2Mio_nach_24h.jpg,poly3,0.3105008890841121,3.246086090512108,0.9239485350831964,0.10186522640205992,1.8817687580522429,,0.26649857894324036,0.5255487092788536
"Aufnahme-03_0,5Mio_nach_24h.jpg",gaussian,0.8555514091736673,3.99313498463016,0.4855480746254984,0.030608584751504523,5.397214841328107,,0.2741781015060624,0.35743255545978714
"Aufnahme-03_0,5Mio_nach_24h.jpg",opening,0.4067545579143619,2.2048975923098624,0.4660063066938753,0.034552434835320264,4.649517612916641,,0.1718196083546221,0.42173476718452974
"Aufnahme-03_0,5Mio_nach_24h.jpg",rolling_ball,0.0906308024000758,2.5619394663954154,0.734443615179527,0.0368022899202617,2.981846517137757,,0.07695459954750841,0.5487376564012856
"Aufnahme-03_0,5Mio_nach_24h.jpg",poly2,0.5953748039454042,3.283023092080839,0.5618817773892817,0.03232581499406447,4.645522799083053,,0.2258018619592121,0.40494976577358566
"Aufnahme-03_0,5Mio_nach_24h.jpg",poly3,0.6256224229273115,3.2853915376472287,0.5484258737839562,0.033960489181561616,4.661345731649535,,0.20741123722230148,0.4000415850150453
Aufnahme-03_2Mio_nach_24h.jpg,gaussian,0.5110938871407564,3.7601431614893954,0.8347324817314976,0.10281130150241019,2.2816791241738756,,0.25403409127366455,0.4754330978841327
Aufnahme-03_2Mio_nach_24h.jpg,opening,0.13142301878468252,2.165522546565626,0.768051746111175,0.12135255750085822,2.1523473768223016,,0.19377372902907225,0.5487586740207162
Aufnahme-03_2Mio_nach_24h.jpg,rolling_ball,0.037211619496735196,2.4386794242309406,0.9203061893239025,0.12269500379515114,1.8656364994286665,,0.13955928944771323,0.6077216237275727
Aufnahme-03_2Mio_nach_24h.jpg,poly2,0.381819140273433,3.2318616576958448,0.8621077488429547,0.11513339104430628,2.1324540410316786,,0.2019132780923554,0.5075071757823386
Aufnahme-03_2Mio_nach_24h.jpg,poly3,0.40131356982122,3.1796988063433673,0.8559937017314521,0.11431929480901078,2.134183343285539,,0.2042378121676372,0.5026105046949897
"Aufnahme-04_0,5Mio_nach_48h.jpg",gaussian,0.5486073050263127,3.7563783131190576,0.7798738622730137,0.025043302540415705,2.373150283264999,,0.24163618354315203,0.447408917919901
"Aufnahme-04_0,5Mio_nach_48h.jpg",opening,0.15624481226177564,2.3374939264613204,0.7163431912223706,0.031049422336328625,2.3207003835539397,,0.14363605873414131,0.520938173085831
